종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"063570","NICE인프라","KOSDAQ","일반서비스","3510","-130","-3.57","119858525280"
"222160","NPX","KOSDAQ","기계·장비","8040","0","0.00","79551289560"
"024940","PN풍년","KOSDAQ","유통","2485","-120","-4.61","24850000000"
"332570","PS일렉트로닉스","KOSDAQ","전기·전자","11760","-1240","-9.54","549327980880"
"218410","RFHIC","KOSDAQ","전기·전자","90100","-3000","-3.22","2392465124200"
"327260","RF머트리얼즈","KOSDAQ","전기·전자","78600","-2100","-2.60","667717611000"
"474610","RF시스템즈","KOSDAQ","금속","10530","-2140","-16.89","150659533440"
"091340","S&K폴리텍","KOSDAQ","전기·전자","2495","-55","-2.16","29200783895"
"419530","SAMG엔터","KOSDAQ","오락·문화","24150","-1200","-4.73","242212111050"
"019550","SBI인베스트먼트","KOSDAQ","금융","1136","-140","-10.97","92053814032"
"246960","SCL사이언스","KOSDAQ","제약","1780","100","5.95","60550343660"
"099220","SDN","KOSDAQ","유통","1055","24","2.33","68516289250"
"036540","SFA반도체","KOSDAQ","전기·전자","8320","-680","-7.56","1368309720960"
"255220","SG","KOSDAQ","비금속","2070","-35","-1.66","226796035140"
"040610","SG&G","KOSDAQ","운송장비·부품","3350","-60","-1.76","57096053300"
"184230","SGA솔루션즈","KOSDAQ","IT 서비스","3190","-215","-6.31","60252653010"
"016250","SGC E&C","KOSDAQ","건설","13440","90","0.67","67697091840"
"357880","SKAI","KOSDAQ","IT 서비스","5080","-290","-5.40","264808228320"
"048550","SM C&C","KOSDAQ","일반서비스","880","-32","-3.51","85108865600"
"063440","SM Life Design","KOSDAQ","출판·매체복제","1180","-59","-4.76","53476849520"
"067160","SOOP","KOSDAQ","IT 서비스","50400","950","1.92","579336256800"
"289080","SV인베스트먼트","KOSDAQ","금융","2670","-35","-1.29","160569082110"
"041930","SY동아","KOSDAQ","화학","5960","-440","-6.88","90592000000"
"013720","THE CUBE&","KOSDAQ","운송장비·부품","457","-8","-1.72","27798461351"
"089230","THE E&M","KOSDAQ","IT 서비스","2550","-200","-7.27","95424452700"
"032540","TJ미디어","KOSDAQ","전기·전자","3295","-85","-2.51","68856975835"
"048770","TPC로보틱스","KOSDAQ","기계·장비","5440","-120","-2.16","85397071040"
"246690","TS인베스트먼트","KOSDAQ","금융","1527","352","29.96","72438351288"
"317240","TS트릴리온","KOSDAQ","화학","1055","-20","-1.86","30781430105"
"057030","YBM넷","KOSDAQ","일반서비스","2295","15","0.66","37437639615"
"040300","YTN","KOSDAQ","오락·문화","2680","-35","-1.29","127774306400"
"051390","YW","KOSDAQ","유통","4205","-40","-0.94","47749322440"
"052220","iMBC","KOSDAQ","오락·문화","2425","-45","-1.82","55775000000"
"079940","가비아","KOSDAQ","IT 서비스","31650","650","2.10","424764648600"
"078890","가온그룹","KOSDAQ","전기·전자","6980","-250","-3.46","128606102140"
"399720","가온칩스","KOSDAQ","전기·전자","58500","3600","6.56","692572374000"
"036620","감성코퍼레이션","KOSDAQ","유통","4775","-145","-2.95","432155506525"
"198440","강동씨앤엘","KOSDAQ","비금속","1018","23","2.31","62028670128"
"217730","강스템바이오텍","KOSDAQ","제약","3020","-65","-2.11","284043529980"
"114190","강원에너지","KOSDAQ","전기·전자","11090","-880","-7.35","289704491420"
"094480","갤럭시아머니트리","KOSDAQ","IT 서비스","6300","-150","-2.33","247147979400"
"039240","경남스틸","KOSDAQ","금속","2405","-45","-1.84","64885947620"
"053950","경남제약","KOSDAQ","제약","2190","-130","-5.60","34228541490"
"011040","경동제약","KOSDAQ","제약","5210","-20","-0.38","160305270860"
"024910","경창산업","KOSDAQ","운송장비·부품","1816","-77","-4.07","65047313080"
"049720","고려신용정보","KOSDAQ","일반서비스","9690","20","0.21","138567000000"
"014570","고려제약","KOSDAQ","제약","3395","-55","-1.59","37345000000"
"348150","고바이오랩","KOSDAQ","일반서비스","3905","-175","-4.29","75830761545"
"950190","고스트스튜디오","KOSDAQ","IT 서비스","8070","870","12.08","105047666130"
"098460","고영","KOSDAQ","기계·장비","34300","-1200","-3.38","2354858096500"
"035290","골드앤에스","KOSDAQ","오락·문화","3005","-800","-21.02","14326782240"
"215000","골프존","KOSDAQ","IT 서비스","43250","450","1.05","271411698750"
"121440","골프존홀딩스","KOSDAQ","유통","4495","-120","-2.60","192551496910"
"366030","공구우먼","KOSDAQ","섬유·의류","5610","300","5.65","127088098500"
"029480","광무","KOSDAQ","전기·전자","1864","-31","-1.64","111316462048"
"026910","광진실업","KOSDAQ","금속","3845","195","5.34","24628782225"
"465320","교보15호스팩","KOSDAQ","금융","2335","0","0.00","8896350000"
"482520","교보16호스팩","KOSDAQ","금융","2040","5","0.25","12444000000"
"489210","교보17호스팩","KOSDAQ","금융","2115","35","1.68","10955700000"
"0041B0","교보18호스팩","KOSDAQ","금융","2025","0","0.00","10206000000"
"0098T0","교보19호스팩","KOSDAQ","금융","2040","20","0.99","11016000000"
"0132G0","교보20호스팩","KOSDAQ","금융","1998","10","0.50","11928060000"
"053270","구영테크","KOSDAQ","운송장비·부품","2085","-45","-2.11","57150694425"
"066620","국보디자인","KOSDAQ","건설","25500","650","2.62","191250000000"
"043650","국순당","KOSDAQ","음식료·담배","3730","-120","-3.12","66611473920"
"006050","국영지앤엠","KOSDAQ","비금속","845","-44","-4.95","29486480335"
"060480","국일신동","KOSDAQ","금속","1649","12","0.73","18287410000"
"078130","국일제지","KOSDAQ","종이·목재","3495","-155","-4.25","394028351565"
"307750","국전","KOSDAQ","제약","2790","-180","-6.06","150621743520"
"035080","그래디언트","KOSDAQ","유통","9500","-220","-2.26","108597198000"
"318060","그래피","KOSDAQ","화학","23050","-1350","-5.53","257541729850"
"453450","그리드위즈","KOSDAQ","일반서비스","18170","-310","-1.68","144319767500"
"204020","그리티","KOSDAQ","섬유·의류","2265","0","0.00","44056134480"
"0015G0","그린광학","KOSDAQ","의료·정밀기기","23000","-1200","-4.96","269158443000"
"402490","그린리소스","KOSDAQ","전기·전자","13880","-1390","-9.10","235060811960"
"114450","그린생명과학","KOSDAQ","제약","2750","-120","-4.18","55000000000"
"186230","그린플러스","KOSDAQ","금속","3700","-280","-7.04","40404695600"
"900070","글로벌에스엠","KOSDAQ","금융","610","0","0.00","32783820480"
"204620","글로벌텍스프리","KOSDAQ","금융","4615","-195","-4.05","324357567950"
"019660","글로본","KOSDAQ","유통","1910","38","2.03","26633676030"
"053260","금강철강","KOSDAQ","금속","5990","190","3.28","112132800000"
"282720","금양그린파워","KOSDAQ","건설","9130","-530","-5.49","110651035000"
"036190","금화피에스시","KOSDAQ","건설","31200","-450","-1.42","187200000000"
"049080","기가레인","KOSDAQ","전기·전자","1291","-109","-7.79","109584400977"
"420770","기가비스","KOSDAQ","기계·장비","141400","10700","8.19","1792352181200"
"035460","기산텔레콤","KOSDAQ","전기·전자","3120","-125","-3.85","46551460800"
"407400","꿈비","KOSDAQ","기타제조","2830","-290","-9.29","41415731220"
"187790","나노","KOSDAQ","화학","6410","-320","-4.75","197689720300"
"121600","나노신소재","KOSDAQ","화학","66800","-3700","-5.25","818546558800"
"286750","나노실리칸첨단소재","KOSDAQ","화학","1474","174","13.38","47210535218"
"247660","나노씨엠에스","KOSDAQ","전기·전자","4705","50","1.07","20438143600"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","5010","-90","-1.76","190846195530"
"091970","나노캠텍","KOSDAQ","화학","3630","-635","-14.89","27351251400"
"417010","나노팀","KOSDAQ","기계·장비","13150","-1500","-10.24","265271373200"
"405920","나라셀라","KOSDAQ","유통","2220","-160","-6.72","28589328720"
"478340","나라스페이스테크놀로지","KOSDAQ","운송장비·부품","26050","-800","-2.98","300450045550"
"051490","나라엠앤디","KOSDAQ","기계·장비","3315","-85","-2.50","47073000000"
"137080","나래나노텍","KOSDAQ","기계·장비","4665","-155","-3.22","51592203630"
"190510","나무가","KOSDAQ","전기·전자","17480","-260","-1.47","246211341160"
"242040","나무기술","KOSDAQ","IT 서비스","8780","1290","17.22","303842997920"
"293580","나우IB","KOSDAQ","금융","1998","-2","-0.10","189670040100"
"459510","나우로보틱스","KOSDAQ","기계·장비","22000","-750","-3.30","285524404000"
"138610","나이벡","KOSDAQ","제약","21200","-1100","-4.93","240997211600"
"130580","나이스디앤비","KOSDAQ","일반서비스","5640","50","0.89","86856000000"
"036800","나이스정보통신","KOSDAQ","통신","26950","-900","-3.23","269500000000"
"267320","나인테크","KOSDAQ","기계·장비","2995","-85","-2.76","171958808525"
"111710","남화산업","KOSDAQ","오락·문화","3440","-5","-0.15","70822720000"
"091590","남화토건","KOSDAQ","건설","3530","-110","-3.02","41442200000"
"168330","내츄럴엔도텍","KOSDAQ","일반서비스","2515","-70","-2.71","79863573500"
"094860","네오리진","KOSDAQ","IT 서비스","1355","-56","-3.97","71964068970"
"253590","네오셈","KOSDAQ","기계·장비","14120","-1370","-8.84","619432595680"
"212560","네오오토","KOSDAQ","운송장비·부품","11710","-2230","-16.00","138321342110"
"095660","네오위즈","KOSDAQ","IT 서비스","19330","-480","-2.42","418232752470"
"042420","네오위즈홀딩스","KOSDAQ","IT 서비스","22000","-300","-1.35","179130226000"
"950220","네오이뮨텍","KOSDAQ","일반서비스","501","0","0.00","83987339400"
"311390","네오크레마","KOSDAQ","음식료·담배","3220","-115","-3.45","40745200580"
"085910","네오티스","KOSDAQ","운송장비·부품","31600","0","0.00","440340248800"
"092730","네오팜","KOSDAQ","화학","17820","-370","-2.03","285618763980"
"153460","네이블","KOSDAQ","IT 서비스","7270","-290","-3.84","47473201780"
"007390","네이처셀","KOSDAQ","제약","30400","-1900","-5.88","1958825702400"
"033640","네패스","KOSDAQ","전기·전자","33950","-1350","-3.82","782859907900"
"330860","네패스아크","KOSDAQ","일반서비스","41200","-3300","-7.42","501982654000"
"351320","넥사다이내믹스","KOSDAQ","기계·장비","1376","-1","-0.07","40865331392"
"089140","넥스턴앤롤코리아","KOSDAQ","기계·장비","2265","-185","-7.55","34691270010"
"389650","넥스트바이오메디컬","KOSDAQ","의료·정밀기기","41650","-2250","-5.13","344748961900"
"137940","넥스트아이","KOSDAQ","의료·정밀기기","1843","-98","-5.05","15733504857"
"396270","넥스트칩","KOSDAQ","전기·전자","4675","340","7.84","153748739925"
"348210","넥스틴","KOSDAQ","기계·장비","67400","-3900","-5.47","706150137000"
"225570","넥슨게임즈","KOSDAQ","IT 서비스","10540","-210","-1.95","694166233960"
"205500","넥써쓰","KOSDAQ","IT 서비스","1940","15","0.78","124377472060"
"217270","넵튠","KOSDAQ","IT 서비스","3005","-70","-2.28","140440607215"
"104620","노랑풍선","KOSDAQ","일반서비스","4000","-5","-0.12","67242208000"
"473980","노머스","KOSDAQ","오락·문화","13850","-520","-3.62","153171609700"
"194700","노바렉스","KOSDAQ","음식료·담배","15170","-670","-4.23","276926044160"
"285490","노바텍","KOSDAQ","기타제조","16440","-1130","-6.43","173866661640"
"145170","노브랜드","KOSDAQ","섬유·의류","4230","-315","-6.93","71522553150"
"106520","노블엠앤비","KOSDAQ","의료·정밀기기","411","0","0.00","15904036272"
"376930","노을","KOSDAQ","의료·정밀기기","975","-65","-6.25","50009039925"
"486990","노타","KOSDAQ","IT 서비스","38500","3900","11.27","821829855000"
"142280","녹십자엠에스","KOSDAQ","제약","4440","-380","-7.88","96534151440"
"234690","녹십자웰빙","KOSDAQ","제약","9470","-530","-5.30","170112356300"
"069140","누리플랜","KOSDAQ","금속","2155","496","29.90","32531457620"
"040160","누리플렉스","KOSDAQ","IT 서비스","14030","490","3.62","169139156050"
"332290","누보","KOSDAQ","화학","964","-101","-9.48","38467845456"
"348340","뉴로메카","KOSDAQ","기계·장비","53300","-2200","-3.96","658902648300"
"380550","뉴로핏","KOSDAQ","IT 서비스","14480","-630","-4.17","176639579680"
"060260","뉴보텍","KOSDAQ","화학","1153","-11","-0.95","15383736468"
"463020","뉴엔AI","KOSDAQ","IT 서비스","9780","220","2.30","86838576000"
"123840","뉴온","KOSDAQ","음식료·담배","3935","-165","-4.02","25047967050"
"012340","뉴인텍","KOSDAQ","운송장비·부품","1196","-70","-5.53","13515173152"
"462310","뉴키즈온","KOSDAQ","섬유·의류","3270","285","9.55","26765345670"
"270870","뉴트리","KOSDAQ","음식료·담배","3810","-80","-2.06","35052853440"
"144960","뉴파워프라즈마","KOSDAQ","기계·장비","8400","-1060","-11.21","367018041600"
"085670","뉴프렉스","KOSDAQ","전기·전자","4740","-160","-3.27","116133607140"
"064260","다날","KOSDAQ","IT 서비스","6160","40","0.65","465976015120"
"340360","다보링크","KOSDAQ","전기·전자","1584","173","12.26","82467430848"
"039560","다산네트웍스","KOSDAQ","전기·전자","3860","-20","-0.52","165549486480"
"208860","다산디엠씨","KOSDAQ","IT 서비스","988","-37","-3.61","33542573324"
"154040","다산솔루에타","KOSDAQ","전기·전자","835","-62","-6.91","14988328490"
"032190","다우데이타","KOSDAQ","유통","20100","-550","-2.66","769830000000"
"323350","다원넥스뷰","KOSDAQ","기계·장비","16360","-1790","-9.86","131056229920"
"068240","다원시스","KOSDAQ","전기·전자","2530","0","0.00","96553495610"
"290660","다이나믹솔루션","KOSDAQ","의료·정밀기기","852","-65","-7.09","72035762484"
"464580","닷밀","KOSDAQ","오락·문화","1684","1","0.06","30995853876"
"020400","대동금속","KOSDAQ","금속","3270","-255","-7.23","20857145640"
"008830","대동기어","KOSDAQ","기계·장비","16710","150","0.91","150181459200"
"048470","대동스틸","KOSDAQ","유통","2960","-115","-3.74","28564000000"
"004780","대륙제관","KOSDAQ","금속","3905","-170","-4.17","62101992095"
"017650","대림제지","KOSDAQ","종이·목재","9230","-60","-0.65","81085550000"
"389260","대명에너지","KOSDAQ","건설","15610","-580","-3.58","279673833250"
"317850","대모","KOSDAQ","기계·장비","7810","300","3.99","65013720200"
"290670","대보마그네틱","KOSDAQ","전기·전자","7920","-330","-4.00","62232667200"
"078140","대봉엘에스","KOSDAQ","제약","8930","-280","-3.04","99003150470"
"065150","대산F&B","KOSDAQ","유통","1450","0","0.00","23110448000"
"036480","대성미생물","KOSDAQ","제약","6640","-10","-0.15","25232000000"
"027830","대성창투","KOSDAQ","금융","1180","-58","-4.68","63720000000"
"129920","대성하이텍","KOSDAQ","기계·장비","7360","-220","-2.90","119590402560"
"471050","대신밸런스제17호스팩","KOSDAQ","금융","2110","10","0.48","12786600000"
"482690","대신밸런스제19호스팩","KOSDAQ","금융","2170","40","1.88","12184550000"
"020180","대신정보통신","KOSDAQ","IT 서비스","1010","-218","-17.75","38813204150"
"045390","대아티아이","KOSDAQ","전기·전자","3210","-115","-3.46","226219540170"
"108380","대양전기공업","KOSDAQ","운송장비·부품","20750","-1100","-5.03","198522159750"
"007680","대원","KOSDAQ","건설","3815","-90","-2.30","51298298310"
"048910","대원미디어","KOSDAQ","유통","5430","-170","-3.04","68303676780"
"005710","대원산업","KOSDAQ","운송장비·부품","10820","-280","-2.52","216806832000"
"120240","대정화금","KOSDAQ","화학","13940","-150","-1.06","100234050540"
"003310","대주산업","KOSDAQ","음식료·담배","2470","-115","-4.45","87419104500"
"078600","대주전자재료","KOSDAQ","전기·전자","153100","-400","-0.26","2384910350800"
"393970","대진첨단소재","KOSDAQ","화학","2825","0","0.00","50428566500"
"096350","대창솔루션","KOSDAQ","금속","2095","-155","-6.89","77210726390"
"140520","대창스틸","KOSDAQ","금속","1998","-2","-0.10","42176267514"
"131220","대한과학","KOSDAQ","유통","4290","-60","-1.38","31979762100"
"010170","대한광통신","KOSDAQ","전기·전자","22700","-550","-2.37","3529524482000"
"054670","대한뉴팜","KOSDAQ","제약","5980","-160","-2.61","85842421600"
"023910","대한약품","KOSDAQ","제약","26700","-350","-1.29","160200000000"
"021040","대호특수강","KOSDAQ","금속","1035","-45","-4.17","22464441090"
"021045","대호특수강우","KOSDAQ","금속","2635","-45","-1.68","2235776420"
"067080","대화제약","KOSDAQ","제약","12520","-110","-0.87","233080458000"
"298540","더네이쳐홀딩스","KOSDAQ","섬유·의류","6850","100","1.48","99231744100"
"032860","더라미","KOSDAQ","일반서비스","724","-36","-4.74","29246604812"
"393890","더블유씨피","KOSDAQ","전기·전자","15980","-1280","-7.42","540813441120"
"299170","더블유에스아이","KOSDAQ","유통","1712","-59","-3.33","71067325056"
"462860","더즌","KOSDAQ","통신","2735","-40","-1.44","196254090405"
"224060","더코디","KOSDAQ","전기·전자","4645","-355","-7.10","23971553690"
"043090","더테크놀로지","KOSDAQ","유통","1140","0","0.00","4718944500"
"403850","더핑크퐁컴퍼니","KOSDAQ","오락·문화","12310","-190","-1.52","176660933100"
"213420","덕산네오룩스","KOSDAQ","전기·전자","38850","-1200","-3.00","964691304150"
"317330","덕산테코피아","KOSDAQ","화학","18090","-1490","-7.61","370421404560"
"077360","덕산하이메탈","KOSDAQ","전기·전자","12990","-2420","-15.70","590226655980"
"090410","덕신이피씨","KOSDAQ","금속","1036","-54","-4.95","47743122420"
"0001A0","덕양에너젠","KOSDAQ","전기·가스·수도","11790","-610","-4.92","292288189050"
"263600","덕우전자","KOSDAQ","전기·전자","4920","-120","-2.38","78377125200"
"194480","데브시스터즈","KOSDAQ","IT 서비스","16190","-140","-0.86","196370938500"
"373160","데이원컴퍼니","KOSDAQ","일반서비스","4000","-50","-1.23","55229876000"
"263800","데이타솔루션","KOSDAQ","유통","5040","495","10.89","81775915200"
"206560","덱스터","KOSDAQ","오락·문화","1523","-147","-8.80","38702073928"
"261200","덴티스","KOSDAQ","의료·정밀기기","2945","-50","-1.67","46559566500"
"484120","도우인시스","KOSDAQ","전기·전자","17350","-990","-5.40","190111271700"
"067990","도이치모터스","KOSDAQ","유통","4380","-10","-0.23","127815189000"
"006620","동구바이오제약","KOSDAQ","제약","4270","-80","-1.84","121545515840"
"100130","동국S&C","KOSDAQ","금속","1735","-57","-3.18","99143105000"
"005160","동국산업","KOSDAQ","금속","2585","-85","-3.18","140221985970"
"303810","동국생명과학","KOSDAQ","제약","2885","-60","-2.04","92274243900"
"075970","동국알앤에스","KOSDAQ","비금속","1842","-97","-5.00","33892800000"
"086450","동국제약","KOSDAQ","제약","19670","-480","-2.38","889682361400"
"240550","동방메디컬","KOSDAQ","의료·정밀기기","6880","-520","-7.03","144025507200"
"099410","동방선기","KOSDAQ","운송장비·부품","4065","-85","-2.05","56910000000"
"033500","동성화인텍","KOSDAQ","화학","20500","-650","-3.07","614784627000"
"025950","동신건설","KOSDAQ","건설","13620","30","0.22","114408000000"
"088130","동아엘텍","KOSDAQ","기계·장비","7800","-530","-6.36","136385449200"
"060380","동양에스텍","KOSDAQ","금속","1221","-41","-3.25","24053700000"
"079960","동양이엔피","KOSDAQ","전기·전자","22200","-600","-2.63","174492000000"
"228340","동양파일","KOSDAQ","비금속","1908","-13","-0.68","38160000000"
"088910","동우팜투테이블","KOSDAQ","음식료·담배","2185","-90","-3.96","56442404340"
"094170","동운아나텍","KOSDAQ","전기·전자","39250","-750","-1.88","820714988000"
"013120","동원개발","KOSDAQ","건설","2365","0","0.00","214761156500"
"109860","동일금속","KOSDAQ","금속","7330","-70","-0.95","66703000000"
"032960","동일기연","KOSDAQ","전기·전자","11190","-250","-2.19","39373078050"
"023790","동일스틸럭스","KOSDAQ","금속","1547","-218","-12.35","20218992976"
"005290","동진쎄미켐","KOSDAQ","화학","54700","-3000","-5.20","2788065892200"
"025900","동화기업","KOSDAQ","종이·목재","8940","-330","-3.56","451982127900"
"131970","두산테스나","KOSDAQ","일반서비스","157300","3400","2.21","3040174537400"
"073190","듀오백","KOSDAQ","기타제조","999","-10","-0.99","11956071960"
"176750","듀켐바이오","KOSDAQ","제약","7010","-350","-4.76","199705927200"
"030350","드래곤플라이","KOSDAQ","IT 서비스","973","0","0.00","15171092867"
"203650","드림시큐리티","KOSDAQ","IT 서비스","3490","5","0.14","352829646800"
"223250","드림씨아이에스","KOSDAQ","일반서비스","4950","-350","-6.60","121772197800"
"060570","드림어스컴퍼니","KOSDAQ","오락·문화","903","-9","-0.99","66913720419"
